,Area,Years,Revenue,Subscribers,Open,High,Low,Close,Adj Close,Volume
0,United States and Canada,Q1 - 2018,1976157000,60909000,291.940002,338.820007,271.220001,312.459991,312.459991,262006000
1,United States and Canada,Q2 - 2018,2049546000,61870000,385.450012,419.769989,328.0,337.450012,337.450012,305393800
2,United States and Canada,Q3 - 2018,2094850000,63010000,375.850006,386.799988,271.209991,301.779999,301.779999,363589800
3,United States and Canada,Q4 - 2018,2160979000,64757000,259.279999,358.850006,256.579987,339.5,339.5,306616400
4,United States and Canada,Q1 - 2019,2256851000,66633000,359.0,384.799988,342.269989,370.540009,370.540009,165079400
5,United States and Canada,Q2 - 2019,2501199000,66501000,373.5,384.76001,305.809998,322.98999,322.98999,196652500
6,United States and Canada,Q3 - 2019,2621250000,67114000,267.350006,308.75,257.01001,287.410004,287.410004,231556400
7,United States and Canada,Q4 - 2019,2671908000,67662000,326.100006,359.850006,321.200012,345.089996,345.089996,169874000
8,United States and Canada,Q1 - 2020,2702776000,69969000,376.049988,449.519989,357.51001,419.850006,419.850006,225111600
9,United States and Canada,Q2 - 2020,2839670000,72904000,454.0,575.369995,454.0,488.880005,488.880005,232206300
10,United States and Canada,Q3 - 2020,2933445000,73081000,506.029999,572.48999,472.209991,475.73999,475.73999,154302400
11,United States and Canada,Q4 - 2020,2979505000,73936000,539.0,593.289978,485.670013,532.390015,532.390015,139988600
12,United States and Canada,Q1 - 2021,3170972000,74384000,529.929993,563.559998,499.0,513.469971,513.469971,111573300
13,United States and Canada,Q2 - 2021,3234643000,73951000,525.719971,557.539978,504.660004,517.570007,517.570007,77221200
14,United States and Canada,Q3 - 2021,3257697000,74024000,604.23999,690.969971,594.679993,690.309998,690.309998,98576300
15,United States and Canada,Q4 - 2021,3308788000,75215000,605.609985,609.98999,351.459991,427.140015,427.140015,241662000
16,United States and Canada,Q1 - 2022,3350424000,74579000,376.799988,396.019989,185.600006,190.360001,190.360001,403325400
17,United States and Canada,Q2 - 2022,3537863000,73283000,176.490005,230.75,169.699997,224.899994,224.899994,270083700
18,United States and Canada,Q3 - 2022,3601565000,73387000,237.850006,305.630005,211.729996,291.880005,291.880005,335263800
