,Area,Years,Revenue,Subscribers,Open,High,Low,Close,Adj Close,Volume
0,United States and Canada,Q1 - 2018,1976157000,60909000,291.940002,338.820007,271.220001,312.459991,312.459991,262006000
1,United States and Canada,Q2 - 2018,2049546000,61870000,385.450012,419.769989,328.0,337.450012,337.450012,305393800
2,United States and Canada,Q3 - 2018,2094850000,63010000,375.850006,386.799988,271.209991,301.779999,301.779999,363589800
3,United States and Canada,Q4 - 2018,2160979000,64757000,259.279999,358.850006,256.579987,339.5,339.5,306616400
4,United States and Canada,Q1 - 2019,2256851000,66633000,359.0,384.799988,342.269989,370.540009,370.540009,165079400
5,United States and Canada,Q2 - 2019,2501199000,66501000,373.5,384.76001,305.809998,322.98999,322.98999,196652500
6,United States and Canada,Q3 - 2019,2621250000,67114000,267.350006,308.75,257.01001,287.410004,287.410004,231556400
7,United States and Canada,Q4 - 2019,2671908000,67662000,326.100006,359.850006,321.200012,345.089996,345.089996,169874000
8,United States and Canada,Q1 - 2020,2702776000,69969000,376.049988,449.519989,357.51001,419.850006,419.850006,225111600
9,United States and Canada,Q2 - 2020,2839670000,72904000,454.0,575.369995,454.0,488.880005,488.880005,232206300
10,"Europe,  Middle East and Africa",Q1 - 2018,886649000,29339000,291.940002,338.820007,271.220001,312.459991,312.459991,262006000
11,"Europe,  Middle East and Africa",Q2 - 2018,975497000,31317000,385.450012,419.769989,328.0,337.450012,337.450012,305393800
12,"Europe,  Middle East and Africa",Q3 - 2018,1004749000,33836000,375.850006,386.799988,271.209991,301.779999,301.779999,363589800
13,"Europe,  Middle East and Africa",Q4 - 2018,1096812000,37818000,259.279999,358.850006,256.579987,339.5,339.5,306616400
14,"Europe,  Middle East and Africa",Q1 - 2019,1233379000,42542000,359.0,384.799988,342.269989,370.540009,370.540009,165079400
15,"Europe,  Middle East and Africa",Q2 - 2019,1319087000,44229000,373.5,384.76001,305.809998,322.98999,322.98999,196652500
16,"Europe,  Middle East and Africa",Q3 - 2019,1428040000,47355000,267.350006,308.75,257.01001,287.410004,287.410004,231556400
17,"Europe,  Middle East and Africa",Q4 - 2019,1562561000,51778000,326.100006,359.850006,321.200012,345.089996,345.089996,169874000
18,"Europe,  Middle East and Africa",Q1 - 2020,1723474000,58734000,376.049988,449.519989,357.51001,419.850006,419.850006,225111600
19,"Europe,  Middle East and Africa",Q2 - 2020,1892537000,61483000,454.0,575.369995,454.0,488.880005,488.880005,232206300
20,Latin America,Q1 - 2018,540182000,21260000,291.940002,338.820007,271.220001,312.459991,312.459991,262006000
21,Latin America,Q2 - 2018,568071000,22795000,385.450012,419.769989,328.0,337.450012,337.450012,305393800
22,Latin America,Q3 - 2018,562307000,24115000,375.850006,386.799988,271.209991,301.779999,301.779999,363589800
23,Latin America,Q4 - 2018,567137000,26077000,259.279999,358.850006,256.579987,339.5,339.5,306616400
24,Latin America,Q1 - 2019,630472000,27547000,359.0,384.799988,342.269989,370.540009,370.540009,165079400
25,Latin America,Q2 - 2019,677136000,27890000,373.5,384.76001,305.809998,322.98999,322.98999,196652500
26,Latin America,Q3 - 2019,741434000,29380000,267.350006,308.75,257.01001,287.410004,287.410004,231556400
27,Latin America,Q4 - 2019,746392000,31417000,326.100006,359.850006,321.200012,345.089996,345.089996,169874000
28,Latin America,Q1 - 2020,793453000,34318000,376.049988,449.519989,357.51001,419.850006,419.850006,225111600
29,Latin America,Q2 - 2020,785368000,36068000,454.0,575.369995,454.0,488.880005,488.880005,232206300
30,Asia-Pacific,Q1 - 2018,199117000,7394000,291.940002,338.820007,271.220001,312.459991,312.459991,262006000
31,Asia-Pacific,Q2 - 2018,221252000,8372000,385.450012,419.769989,328.0,337.450012,337.450012,305393800
32,Asia-Pacific,Q3 - 2018,248691000,9461000,375.850006,386.799988,271.209991,301.779999,301.779999,363589800
33,Asia-Pacific,Q4 - 2018,276756000,10607000,259.279999,358.850006,256.579987,339.5,339.5,306616400
34,Asia-Pacific,Q1 - 2019,319602000,12141000,359.0,384.799988,342.269989,370.540009,370.540009,165079400
35,Asia-Pacific,Q2 - 2019,349494000,12942000,373.5,384.76001,305.809998,322.98999,322.98999,196652500
36,Asia-Pacific,Q3 - 2019,382304000,14485000,267.350006,308.75,257.01001,287.410004,287.410004,231556400
37,Asia-Pacific,Q4 - 2019,418121000,16233000,326.100006,359.850006,321.200012,345.089996,345.089996,169874000
38,Asia-Pacific,Q1 - 2020,483660000,19835000,376.049988,449.519989,357.51001,419.850006,419.850006,225111600
39,Asia-Pacific,Q2 - 2020,569140000,22492000,454.0,575.369995,454.0,488.880005,488.880005,232206300
