,Area,Years,Revenue
0,United States and Canada,Q1 - 2018,1976157000
1,"Europe,  Middle East and Africa",Q1 - 2018,886649000
2,Latin America,Q1 - 2018,540182000
3,Asia-Pacific,Q1 - 2018,199117000
4,United States and Canada,Q2 - 2018,2049546000
5,"Europe,  Middle East and Africa",Q2 - 2018,975497000
6,Latin America,Q2 - 2018,568071000
7,Asia-Pacific,Q2 - 2018,221252000
8,United States and Canada,Q3 - 2018,2094850000
9,"Europe,  Middle East and Africa",Q3 - 2018,1004749000
10,Latin America,Q3 - 2018,562307000
11,Asia-Pacific,Q3 - 2018,248691000
12,United States and Canada,Q4 - 2018,2160979000
13,"Europe,  Middle East and Africa",Q4 - 2018,1096812000
14,Latin America,Q4 - 2018,567137000
15,Asia-Pacific,Q4 - 2018,276756000
16,United States and Canada,Q1 - 2019,2256851000
17,"Europe,  Middle East and Africa",Q1 - 2019,1233379000
18,Latin America,Q1 - 2019,630472000
19,Asia-Pacific,Q1 - 2019,319602000
20,United States and Canada,Q2 - 2019,2501199000
21,"Europe,  Middle East and Africa",Q2 - 2019,1319087000
22,Latin America,Q2 - 2019,677136000
23,Asia-Pacific,Q2 - 2019,349494000
24,United States and Canada,Q3 - 2019,2621250000
25,"Europe,  Middle East and Africa",Q3 - 2019,1428040000
26,Latin America,Q3 - 2019,741434000
27,Asia-Pacific,Q3 - 2019,382304000
28,United States and Canada,Q4 - 2019,2671908000
29,"Europe,  Middle East and Africa",Q4 - 2019,1562561000
30,Latin America,Q4 - 2019,746392000
31,Asia-Pacific,Q4 - 2019,418121000
32,United States and Canada,Q1 - 2020,2702776000
33,"Europe,  Middle East and Africa",Q1 - 2020,1723474000
34,Latin America,Q1 - 2020,793453000
35,Asia-Pacific,Q1 - 2020,483660000
36,United States and Canada,Q2 - 2020,2839670000
37,"Europe,  Middle East and Africa",Q2 - 2020,1892537000
38,Latin America,Q2 - 2020,785368000
39,Asia-Pacific,Q2 - 2020,569140000
40,United States and Canada,Q3 - 2020,2933445000
41,"Europe,  Middle East and Africa",Q3 - 2020,2019083000
42,Latin America,Q3 - 2020,789384000
43,Asia-Pacific,Q3 - 2020,634891000
44,United States and Canada,Q4 - 2020,2979505000
45,"Europe,  Middle East and Africa",Q4 - 2020,2137158000
46,Latin America,Q4 - 2020,788522000
47,Asia-Pacific,Q4 - 2020,684609000
48,United States and Canada,Q1 - 2021,3170972000
49,"Europe,  Middle East and Africa",Q1 - 2021,2343674000
50,Latin America,Q1 - 2021,836647000
51,Asia-Pacific,Q1 - 2021,762414000
52,United States and Canada,Q2 - 2021,3234643000
53,"Europe,  Middle East and Africa",Q2 - 2021,2400480000
54,Latin America,Q2 - 2021,860882000
55,Asia-Pacific,Q2 - 2021,799480000
56,United States and Canada,Q3 - 2021,3257697000
57,"Europe,  Middle East and Africa",Q3 - 2021,2432239000
58,Latin America,Q3 - 2021,915297000
59,Asia-Pacific,Q3 - 2021,834002000
60,United States and Canada,Q4 - 2021,3308788000
61,"Europe,  Middle East and Africa",Q4 - 2021,2523426000
62,Latin America,Q4 - 2021,964150000
63,Asia-Pacific,Q4 - 2021,870705000
64,United States and Canada,Q1 - 2022,3350424000
65,"Europe,  Middle East and Africa",Q1 - 2022,2561831000
66,Latin America,Q1 - 2022,998948000
67,Asia-Pacific,Q1 - 2022,916754000
68,United States and Canada,Q2 - 2022,3537863000
69,"Europe,  Middle East and Africa",Q2 - 2022,2457235000
70,Latin America,Q2 - 2022,1030234000
71,Asia-Pacific,Q2 - 2022,907719000
72,United States and Canada,Q3 - 2022,3601565000
73,"Europe,  Middle East and Africa",Q3 - 2022,2375814000
74,Latin America,Q3 - 2022,1023945000
75,Asia-Pacific,Q3 - 2022,889037000
76,United States and Canada,Q4 - 2022,3594791000
77,"Europe,  Middle East and Africa",Q4 - 2022,2350135000
78,Latin America,Q4 - 2022,1016846000
79,Asia-Pacific,Q4 - 2022,856711000
