Show_ID,Movie Title,Director,Country,Release_Year,Rating_class,Duration,Categories,Type
s1,Dick Johnson Is Dead,Kirsten Johnson,United States,2020,PG-13,90,Documentaries,Movie
s7,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",,2021,PG,91,Children & Family Movies,Movie
s10,The Starling,Theodore Melfi,United States,2021,PG-13,104,"Comedies, Dramas",Movie
s13,Je Suis Karl,Christian Schwochow,"Germany, Czech Republic",2021,TV-MA,127,"Dramas, International Movies",Movie
s14,Confessions of an Invisible Girl,Bruno Garotti,,2021,TV-PG,91,"Children & Family Movies, Comedies",Movie
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",,2020,TV-MA,67,"Documentaries, International Movies",Movie
s19,Intrusion,Adam Salky,,2021,TV-14,94,Thrillers,Movie
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",,2021,TV-Y,61,Children & Family Movies,Movie
s29,Dark Skies,Scott Stewart,United States,2013,PG-13,97,"Horror Movies, Sci-Fi & Fantasy",Movie
s30,Paranoia,Robert Luketic,"United States, India, France",2013,PG-13,106,Thrillers,Movie
s31,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",,2021,TV-14,111,"Dramas, Independent Movies, International Movies",Movie
s36,The Father Who Moves Mountains,Daniel Sandu,,2021,TV-MA,110,"Dramas, International Movies, Thrillers",Movie
s37,The Stronghold,Cédric Jimenez,,2021,TV-MA,105,"Action & Adventure, Dramas, International Movies",Movie
s39,Birth of the Dragon,George Nolfi,"China, Canada, United States",2017,PG-13,96,"Action & Adventure, Dramas",Movie
s46,My Heroes Were Cowboys,Tyler Greco,,2021,PG,23,Documentaries,Movie
s47,Safe House,Daniel Espinosa,"South Africa, United States, Japan",2012,R,115,Action & Adventure,Movie
s57,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,2011,TV-14,102,"Action & Adventure, Anime Features, International Movies",Movie
s65,Nightbooks,David Yarovesky,,2021,TV-PG,103,Children & Family Movies,Movie
s69,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",,2021,TV-14,113,"Documentaries, International Movies, Sports Movies",Movie
s72,A StoryBots Space Adventure,David A. Vargas,,2021,TV-Y,13,Children & Family Movies,Movie
s74,King of Boys,Kemi Adetiba,Nigeria,2018,TV-MA,182,"Dramas, International Movies",Movie
s76,You vs. Wild: Out Cold,Ben Simms,,2021,TV-G,106,Children & Family Movies,Movie
s78,Little Singham - Black Shadow,Prakash Satam,,2021,TV-Y7,48,"Children & Family Movies, Comedies",Movie
s79,Tughlaq Durbar,Delhiprasad Deenadayalan,,2020,TV-14,145,"Comedies, Dramas, International Movies",Movie
s80,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,,2021,TV-14,145,"Comedies, Dramas, International Movies",Movie
s81,Firedrake the Silver Dragon,Tomer Eshed,,2021,TV-Y7,93,Children & Family Movies,Movie
s82,Kate,Cedric Nicolas-Troyan,United States,2021,R,106,Action & Adventure,Movie
s85,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,2020,TV-MA,147,"Action & Adventure, Comedies, Dramas",Movie
s87,Prey,Thomas Sieben,,2021,TV-MA,87,"International Movies, Thrillers",Movie
s89,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,,2021,PG-13,96,"Documentaries, Sports Movies",Movie
s91,Paradise Hills,Alice Waddington,"Spain, United States",2019,TV-MA,95,"Sci-Fi & Fantasy, Thrillers",Movie
s92,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France,2021,TV-14,92,"Documentaries, International Movies",Movie
s94,JJ+E,Alexis Almström,,2021,TV-MA,91,"Dramas, International Movies, Romantic Movies",Movie
s95,Show Dogs,Raja Gosnell,"United Kingdom, United States",2018,PG,90,"Children & Family Movies, Comedies",Movie
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2018,TV-MA,97,"Documentaries, Music & Musicals",Movie
s102,Untold: Breaking Point,"Chapman Way, Maclain Way",United States,2021,TV-MA,80,"Documentaries, Sports Movies",Movie
s104,Shadow Parties,Yemi Amodu,,2020,TV-MA,117,"Dramas, International Movies, Thrillers",Movie
s106,Angamaly Diaries,Lijo Jose Pellissery,India,2017,TV-14,128,"Action & Adventure, Comedies, Dramas",Movie
s108,A Champion Heart,David de Vos,United States,2018,G,90,"Children & Family Movies, Dramas",Movie
s113,Worth,Sara Colangelo,,2021,PG-13,119,Dramas,Movie
s114,Afterlife of the Party,Stephen Herek,,2021,TV-PG,110,"Comedies, Romantic Movies",Movie
s117,Dhanak,Nagesh Kukunoor,India,2015,TV-PG,114,"Comedies, Dramas, Independent Movies",Movie
s118,Final Account,Luke Holland,"United Kingdom, United States",2021,PG-13,94,Documentaries,Movie
s119,Gurgaon,Shanker Raman,India,2017,TV-14,106,"Dramas, International Movies, Thrillers",Movie
s120,Here and There,JP Habac,,2020,TV-MA,99,"Dramas, International Movies, Romantic Movies",Movie
s127,Shikara,Vidhu Vinod Chopra,India,2020,TV-14,115,"Dramas, International Movies, Romantic Movies",Movie
s129,Agatha Christie's Crooked House,Gilles Paquet-Brenner,,2017,PG-13,115,"Dramas, International Movies, Thrillers",Movie
s131,Barbie Big City Big Dreams,Scott Pleydell-Pearce,,2021,TV-Y,63,"Children & Family Movies, Music & Musicals",Movie
s134,Chappie,Neill Blomkamp,"South Africa, United States",2015,R,121,"Action & Adventure, Sci-Fi & Fantasy",Movie
s141,"El patrón, radiografía de un crimen",Sebastián Schindel,"Argentina, Venezuela",2014,TV-MA,100,"Dramas, International Movies, Thrillers",Movie
s142,Extraction,Steven C. Miller,"United States, United Kingdom, Canada",2015,R,82,Action & Adventure,Movie
s144,Green Lantern,Martin Campbell,United States,2011,PG-13,114,"Action & Adventure, Sci-Fi & Fantasy",Movie
s153,Janoskians: Untold and Untrue,Brett Weiner,United States,2016,TV-MA,88,Comedies,Movie
s158,Level 16,Danishka Esterhazy,Canada,2018,TV-14,102,"Sci-Fi & Fantasy, Thrillers",Movie
s163,Marshall,Reginald Hudlin,"United States, China, Hong Kong",2017,PG-13,118,Dramas,Movie
s172,Same Kind of Different as Me,Michael Carney,United States,2017,PG-13,120,"Dramas, Faith & Spirituality",Movie
s174,Snervous Tyler Oakley,Amy Rice,United States,2015,PG-13,83,"Documentaries, LGBTQ Movies",Movie
s179,The Interview,"Evan Goldberg, Seth Rogen",United States,2014,R,112,"Action & Adventure, Comedies",Movie
s186,Untold: Crime & Penalties,"Chapman Way, Maclain Way",,2021,TV-MA,86,"Documentaries, Sports Movies",Movie
s191,Thimmarusu,Sharan Koppisetty,India,2021,TV-14,125,"Dramas, International Movies",Movie
s192,Wind River,Taylor Sheridan,"United Kingdom, Canada, United States",2017,R,107,"Dramas, Independent Movies",Movie
s197,He's All That,Mark Waters,,2021,TV-14,92,"Comedies, Romantic Movies",Movie
s204,Kyaa Kool Hain Hum 3,Umesh Ghadge,India,2016,TV-MA,124,"Comedies, International Movies",Movie
s205,Kyaa Super Kool Hain Hum,Sachin Yardi,India,2012,TV-MA,136,"Comedies, International Movies",Movie
s210,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,India,2013,TV-14,142,"Dramas, International Movies, Music & Musicals",Movie
s211,Ragini MMS,Pawan Kripalani,India,2011,TV-MA,93,"Horror Movies, International Movies",Movie
s212,Ragini MMS 2,Bhushan Patel,India,2014,TV-MA,113,"Horror Movies, International Movies",Movie
s215,SAS: Rise of the Black Swan,Magnus Martens,,2021,R,124,"Action & Adventure, International Movies",Movie
s217,Shor In the City,"Raj Nidimoru, Krishna D.K.",India,2011,TV-14,106,"Comedies, Dramas, Independent Movies",Movie
s218,The Dirty Picture,Milan Luthria,India,2011,TV-14,145,"Comedies, Dramas, International Movies",Movie
s222,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,,2021,TV-14,93,Documentaries,Movie
s228,Really Love,Angel Kristi Williams,United States,2020,TV-MA,95,"Dramas, Independent Movies, Romantic Movies",Movie
s229,The November Man,Roger Donaldson,"United States, United Kingdom",2014,R,108,Action & Adventure,Movie
s230,The Old Ways,Christopher Alender,United States,2020,TV-MA,90,Horror Movies,Movie
s231,The River Runner,Rush Sturges,,2021,TV-MA,86,"Documentaries, Sports Movies",Movie
s232,The Water Man,David Oyelowo,United States,2021,PG,92,"Children & Family Movies, Dramas",Movie
s234,Count Me In,Mark Lo,United Kingdom,2021,TV-MA,82,"Documentaries, Music & Musicals",Movie
s236,Untold: Caitlyn Jenner,Crystal Moselle,,2021,TV-PG,70,"Documentaries, LGBTQ Movies, Sports Movies",Movie
s237,Boomika,Rathindran R Prasad,,2021,TV-14,122,"Horror Movies, International Movies, Thrillers",Movie
s238,Boomika (Hindi),Rathindran R Prasad,,2021,TV-14,122,"Horror Movies, International Movies, Thrillers",Movie
s239,Boomika (Malayalam),Rathindran R Prasad,,2021,TV-14,122,"Horror Movies, International Movies, Thrillers",Movie
s240,Boomika (Telugu),Rathindran R Prasad,,2021,TV-14,122,"Horror Movies, International Movies, Thrillers",Movie
s241,The Witcher: Nightmare of the Wolf,Han Kwang Il,,2021,TV-MA,84,"Action & Adventure, Anime Features",Movie
s245,Gunshot,Karim El Shenawy,,2018,TV-14,96,"Dramas, International Movies, Thrillers",Movie
s247,Man in Love,Yin Chen-hao,,2021,TV-MA,115,"Dramas, International Movies, Romantic Movies",Movie
s248,Sweet Girl,Brian Andrew Mendoza,United States,2021,R,110,"Action & Adventure, Dramas",Movie
s250,The Loud House Movie,Dave Needham,,2021,TV-Y7,88,"Children & Family Movies, Comedies, Music & Musicals",Movie
s251,A Faraway Land,Veronica Velasco,,2020,TV-PG,102,"Dramas, International Movies, Romantic Movies",Movie
s252,Like Crazy,Drake Doremus,United States,2011,PG-13,91,"Dramas, Independent Movies, Romantic Movies",Movie
s253,Black Island,Miguel Alexandre,,2021,TV-MA,105,"International Movies, Thrillers",Movie
s256,Memories of a Murderer: The Nilsen Tapes,Michael Harte,,2021,TV-MA,86,"Documentaries, International Movies",Movie
s257,Nneka The Pretty Serpent,Tosin Igho,,2020,TV-14,140,"Dramas, International Movies",Movie
s258,O Kadhal Kanmani,Mani Ratnam,,2015,TV-14,133,"Dramas, International Movies, Romantic Movies",Movie
s259,Out of my league,Alice Filippi,,2020,TV-MA,92,"Comedies, Dramas, International Movies",Movie
s260,Pahuna,Paakhi Tyrewala,"India, Nepal",2018,TV-PG,82,"Comedies, Dramas, International Movies",Movie
s262,The Secret Diary of an Exchange Student,Bruno Garotti,,2021,TV-14,97,"Comedies, International Movies, Romantic Movies",Movie
s263,Untold: Deal With the Devil,Laura Brownson,,2021,TV-MA,78,"Documentaries, LGBTQ Movies, Sports Movies",Movie
s265,Walk of Shame,Steve Brill,United States,2014,R,94,"Comedies, Independent Movies",Movie
s269,Unroyal,Moses Inwang,,2020,TV-MA,97,"Dramas, International Movies",Movie
s271,Beckett,Ferdinando Cito Filomarino,"Italy, Brazil, Greece",2021,TV-MA,110,Action & Adventure,Movie
s279,Lokillo: Nothing's the Same,Julián Gaviria,Colombia,2021,TV-MA,64,Stand-Up Comedy,Movie
s280,Monster Hunter: Legends of the Guild,Steven Yamamoto,"United States, Japan",2021,TV-PG,59,"Action & Adventure, Anime Features, Children & Family Movies",Movie
s282,Brother Jekwu,Charles Uwagbai,Nigeria,2016,TV-14,101,"Comedies, International Movies",Movie
s283,La diosa del asfalto,Julián Hernández,Mexico,2020,TV-MA,127,"Dramas, Independent Movies, International Movies",Movie
s284,Misha and the Wolves,Sam Hobkinson,"Belgium, United Kingdom",2021,PG-13,90,"Documentaries, International Movies",Movie
s285,The Kissing Booth 3,Vince Marcello,"United Kingdom, United States",2021,TV-14,114,"Comedies, Romantic Movies",Movie
s286,The Railway Man,Jonathan Teplitzky,"Switzerland, United Kingdom, Australia",2013,R,108,"Dramas, International Movies",Movie
s291,Untold: Malice at the Palace,Floyd Russ,United States,2021,TV-MA,70,"Documentaries, Sports Movies",Movie
s293,Quartet,Dustin Hoffman,United Kingdom,2012,PG-13,98,"Comedies, Dramas, Independent Movies",Movie
s294,Slay,Adze Ugah,South Africa,2021,TV-MA,86,"Comedies, International Movies, Romantic Movies",Movie
s295,Takizawa Kabuki ZERO 2020 The Movie,Hideaki Takizawa,,2020,TV-PG,139,"International Movies, Music & Musicals",Movie
s296,The Paper Tigers,Quoc Bao Tran,United States,2021,PG-13,111,"Action & Adventure, Comedies",Movie
s299,Quam's Money,Kayode Kasum,Nigeria,2020,TV-MA,115,"Comedies, Dramas, International Movies",Movie
