,Asia-Pacific,"Europe,  Middle East and Africa",Latin America,United States and Canada,Grand Total,Quarter,Year
0,199117000,886649000,540182000,1976157000,3602105000,Q1,2018
1,319602000,1233379000,630472000,2256851000,4440304000,Q1,2019
2,483660000,1723474000,793453000,2702776000,5703363000,Q1,2020
3,221252000,975497000,568071000,2049546000,3814366000,Q2,2018
4,349494000,1319087000,677136000,2501199000,4846916000,Q2,2019
5,569140000,1892537000,785368000,2839670000,6086715000,Q2,2020
6,248691000,1004749000,562307000,2094850000,3910597000,Q3,2018
7,382304000,1428040000,741434000,2621250000,5173028000,Q3,2019
8,276756000,1096812000,567137000,2160979000,4101684000,Q4,2018
9,418121000,1562561000,746392000,2671908000,5398982000,Q4,2019
