Show_ID,Movie Title,Director,Country,Release_Year,Rating_class,Duration,Categories,Type,IMDB_Score,IMDB_Votes
s1,Dick Johnson Is Dead,Kirsten Johnson,United States,2020,PG-13,90,Documentaries,Movie,7.4,6390.0
s7,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",,2021,PG,91,Children & Family Movies,Movie,6.8,3468.0
s10,The Starling,Theodore Melfi,United States,2021,PG-13,104,"Comedies, Dramas",Movie,6.3,11733.0
s14,Confessions of an Invisible Girl,Bruno Garotti,,2021,TV-PG,91,"Children & Family Movies, Comedies",Movie,5.2,966.0
s19,Intrusion,Adam Salky,,2021,TV-14,94,Thrillers,Movie,5.3,15464.0
s29,Dark Skies,Scott Stewart,United States,2013,PG-13,97,"Horror Movies, Sci-Fi & Fantasy",Movie,6.3,75139.0
s31,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",,2021,TV-14,111,"Dramas, Independent Movies, International Movies",Movie,5.5,853.0
s36,The Father Who Moves Mountains,Daniel Sandu,,2021,TV-MA,110,"Dramas, International Movies, Thrillers",Movie,5.5,3385.0
s37,The Stronghold,Cédric Jimenez,,2021,TV-MA,105,"Action & Adventure, Dramas, International Movies",Movie,6.9,9422.0
s39,Birth of the Dragon,George Nolfi,"China, Canada, United States",2017,PG-13,96,"Action & Adventure, Dramas",Movie,5.6,8112.0
s46,My Heroes Were Cowboys,Tyler Greco,,2021,PG,23,Documentaries,Movie,,
s57,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,2011,TV-14,102,"Action & Adventure, Anime Features, International Movies",Movie,7.1,5021.0
s65,Nightbooks,David Yarovesky,,2021,TV-PG,103,Children & Family Movies,Movie,5.7,8278.0
s69,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",,2021,TV-14,113,"Documentaries, International Movies, Sports Movies",Movie,7.4,21558.0
s72,A StoryBots Space Adventure,David A. Vargas,,2021,TV-Y,13,Children & Family Movies,Movie,,
s74,King of Boys,Kemi Adetiba,Nigeria,2018,TV-MA,182,"Dramas, International Movies",Movie,6.1,404.0
s76,You vs. Wild: Out Cold,Ben Simms,,2021,TV-G,106,Children & Family Movies,Movie,5.3,102.0
s79,Tughlaq Durbar,Delhiprasad Deenadayalan,,2020,TV-14,145,"Comedies, Dramas, International Movies",Movie,5.4,1566.0
s82,Kate,Cedric Nicolas-Troyan,United States,2021,R,106,Action & Adventure,Movie,6.2,57689.0
s87,Prey,Thomas Sieben,,2021,TV-MA,87,"International Movies, Thrillers",Movie,4.3,7084.0
s89,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,,2021,PG-13,96,"Documentaries, Sports Movies",Movie,6.9,906.0
s91,Paradise Hills,Alice Waddington,"Spain, United States",2019,TV-MA,95,"Sci-Fi & Fantasy, Thrillers",Movie,5.3,22298.0
s92,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France,2021,TV-14,92,"Documentaries, International Movies",Movie,6.4,1158.0
s94,JJ+E,Alexis Almström,,2021,TV-MA,91,"Dramas, International Movies, Romantic Movies",Movie,5.3,1658.0
s95,Show Dogs,Raja Gosnell,"United Kingdom, United States",2018,PG,90,"Children & Family Movies, Comedies",Movie,3.9,4653.0
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2018,TV-MA,97,"Documentaries, Music & Musicals",Movie,7.9,1285.0
