Movie Title,IMDB_Score,IMDB_Votes
Hop,5.4,33734.0
"Crazy, Stupid, Love.",7.4,507878.0
Margin Call,7.1,125883.0
Django Unchained,8.4,1472668.0
Looper,7.4,566791.0
Argo,7.7,600392.0
Midnight in Paris,7.7,413541.0
Warrior,8.2,463276.0
Les Misérables,7.5,325132.0
The Girl with the Dragon Tattoo,7.8,454917.0
Contagion,6.8,300074.0
Battleship,5.8,246008.0
Killing Them Softly,6.2,141289.0
Just Go with It,6.4,239367.0
Dark Shadows,6.2,262998.0
Sherlock Holmes: A Game of Shadows,7.4,446531.0
Silver Linings Playbook,7.7,697481.0
Sucker Punch,6.0,241111.0
Jackass 3.5,,
Total Recall,6.2,252051.0
Project X,6.6,204959.0
Berserk: The Golden Age Arc I - The Egg of the King,7.5,12278.0
Soul Surfer,7.0,49101.0
Final Destination 5,5.9,114505.0
Puss in Boots,6.6,156144.0
Savages,6.4,129199.0
Hall Pass,5.9,125098.0
Rurouni Kenshin Part I: Origins,7.4,25793.0
Unknown,6.8,259696.0
Hostel: Part III,,
The Rite,6.0,96915.0
Mean Girls 2,4.1,23287.0
A Very Harold & Kumar Christmas,6.2,69241.0
Red Riding Hood,5.4,111483.0
New Year's Eve,5.6,85658.0
The Smurfs,5.4,89316.0
Jack and Jill,3.3,83727.0
Everything Must Go,6.4,50431.0
John Mulaney: New in Town,8.2,6608.0
One Piece Film: Z,7.8,7002.0
Arthur Christmas,7.1,58296.0
Silenced,8.0,15889.0
A Perfect Ending,5.7,4308.0
Quartet,6.8,20194.0
Berserk: The Golden Age Arc II - The Battle for Doldrey,7.7,10257.0
Bill Burr: You People Are All The Same,8.2,7370.0
Bully,7.4,10266.0
The History of Future Folk,7.1,3398.0
Cloudburst,7.2,2281.0
Donald Glover: Weirdo,7.4,3511.0
A Princess for Christmas,6.3,8222.0
Middle of Nowhere,6.5,1818.0
Zindagi Na Milegi Dobara,8.1,75801.0
Kung Fu Panda: Secrets of the Scroll,,
What About Dick?,,
Escape from Planet Earth,5.8,25639.0
Inventing David Geffen,,
Sebastian Maniscalco: What's Wrong with People?,8.0,1194.0
Undefeated,7.7,7051.0
Singham,6.8,16473.0
Tim Minchin and the Heritage Orchestra: Live at the Royal Albert Hall,,
Barfi!,8.1,80643.0
Mosquita y Mari,6.3,918.0
The Great Magician,5.9,1741.0
Joan Rivers: Don't Start with Me,6.6,408.0
Sniper: Reloaded,,
Delhi Belly,7.6,29578.0
Naruto Shippuden the Movie: Blood Prison,7.1,5021.0
Maria Bamford: The Special Special Special!,7.0,567.0
Tiger & Bunny: The Beginning,6.7,216.0
Don't Go Breaking My Heart,6.5,1756.0
Pyaar Ka Punchnama,7.7,21204.0
Big Time Movie,6.1,1936.0
A World Not Ours,7.8,376.0
Don 2,7.1,52338.0
A Second Chance,4.7,1018.0
Jeff Dunham: Minding the Monsters,7.0,1401.0
Jeff Dunham: Controlled Chaos,7.4,2272.0
Chillar Party,7.5,7686.0
The Dirty Picture,6.6,9522.0
